Training set: 9664
Testinf set: 1120
Validation set: 544

Epoch 40/100: Train Loss=0.8115, Val DSC_BG=0.9956, Val DSC_DeepGray=0.7271, Val DSC_LightGray=0.7763, Val DSC_White=0.8536
Epoch 41/100: Train Loss=0.8101, Val DSC_BG=0.9953, Val DSC_DeepGray=0.7352, Val DSC_LightGray=0.7719, Val DSC_White=0.8588
Epoch 42/100: Train Loss=0.8098, Val DSC_BG=0.9946, Val DSC_DeepGray=0.7335, Val DSC_LightGray=0.7748, Val DSC_White=0.8607
Epoch 43/100: Train Loss=0.8084, Val DSC_BG=0.9962, Val DSC_DeepGray=0.7491, Val DSC_LightGray=0.7836, Val DSC_White=0.8625
Epoch 44/100: Train Loss=0.8073, Val DSC_BG=0.9963, Val DSC_DeepGray=0.7548, Val DSC_LightGray=0.7891, Val DSC_White=0.8634
Epoch 45/100: Train Loss=0.8058, Val DSC_BG=0.9961, Val DSC_DeepGray=0.7595, Val DSC_LightGray=0.7915, Val DSC_White=0.8644
Epoch 46/100: Train Loss=0.8051, Val DSC_BG=0.9962, Val DSC_DeepGray=0.7647, Val DSC_LightGray=0.7953, Val DSC_White=0.8649
Epoch 47/100: Train Loss=0.8052, Val DSC_BG=0.9963, Val DSC_DeepGray=0.7642, Val DSC_LightGray=0.8016, Val DSC_White=0.8699
Epoch 48/100: Train Loss=0.8039, Val DSC_BG=0.9963, Val DSC_DeepGray=0.7660, Val DSC_LightGray=0.7969, Val DSC_White=0.8762
Epoch 49/100: Train Loss=0.8021, Val DSC_BG=0.9964, Val DSC_DeepGray=0.7770, Val DSC_LightGray=0.8060, Val DSC_White=0.8765
Epoch 50/100: Train Loss=0.8018, Val DSC_BG=0.9965, Val DSC_DeepGray=0.7749, Val DSC_LightGray=0.8072, Val DSC_White=0.8810
Epoch 51/100: Train Loss=0.8018, Val DSC_BG=0.9965, Val DSC_DeepGray=0.7879, Val DSC_LightGray=0.8067, Val DSC_White=0.8636
Epoch 52/100: Train Loss=0.7996, Val DSC_BG=0.9967, Val DSC_DeepGray=0.7911, Val DSC_LightGray=0.8173, Val DSC_White=0.8822
Epoch 53/100: Train Loss=0.7988, Val DSC_BG=0.9967, Val DSC_DeepGray=0.7966, Val DSC_LightGray=0.8204, Val DSC_White=0.8830
Epoch 54/100: Train Loss=0.7986, Val DSC_BG=0.9951, Val DSC_DeepGray=0.7620, Val DSC_LightGray=0.8157, Val DSC_White=0.8881
Epoch 55/100: Train Loss=0.7985, Val DSC_BG=0.9965, Val DSC_DeepGray=0.8019, Val DSC_LightGray=0.8253, Val DSC_White=0.8836
Epoch 56/100: Train Loss=0.7970, Val DSC_BG=0.9967, Val DSC_DeepGray=0.8071, Val DSC_LightGray=0.8253, Val DSC_White=0.8868
Epoch 57/100: Train Loss=0.7963, Val DSC_BG=0.9954, Val DSC_DeepGray=0.7980, Val DSC_LightGray=0.8285, Val DSC_White=0.8923
Epoch 58/100: Train Loss=0.7952, Val DSC_BG=0.9966, Val DSC_DeepGray=0.8146, Val DSC_LightGray=0.8326, Val DSC_White=0.8910
Epoch 59/100: Train Loss=0.7945, Val DSC_BG=0.9968, Val DSC_DeepGray=0.8126, Val DSC_LightGray=0.8366, Val DSC_White=0.8967
Epoch 60/100: Train Loss=0.7937, Val DSC_BG=0.9963, Val DSC_DeepGray=0.8125, Val DSC_LightGray=0.8344, Val DSC_White=0.8984
Epoch 61/100: Train Loss=0.7925, Val DSC_BG=0.9969, Val DSC_DeepGray=0.8239, Val DSC_LightGray=0.8445, Val DSC_White=0.9007
Epoch 62/100: Train Loss=0.7926, Val DSC_BG=0.9965, Val DSC_DeepGray=0.8254, Val DSC_LightGray=0.8456, Val DSC_White=0.9024
Epoch 63/100: Train Loss=0.7911, Val DSC_BG=0.9962, Val DSC_DeepGray=0.8275, Val DSC_LightGray=0.8505, Val DSC_White=0.9035
Epoch 64/100: Train Loss=0.7910, Val DSC_BG=0.9970, Val DSC_DeepGray=0.8404, Val DSC_LightGray=0.8506, Val DSC_White=0.8988
Epoch 65/100: Train Loss=0.7892, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8439, Val DSC_LightGray=0.8563, Val DSC_White=0.9071
Epoch 66/100: Train Loss=0.7888, Val DSC_BG=0.9966, Val DSC_DeepGray=0.8400, Val DSC_LightGray=0.8564, Val DSC_White=0.9097
Epoch 67/100: Train Loss=0.7880, Val DSC_BG=0.9969, Val DSC_DeepGray=0.8412, Val DSC_LightGray=0.8601, Val DSC_White=0.9116
Epoch 68/100: Train Loss=0.7872, Val DSC_BG=0.9969, Val DSC_DeepGray=0.8478, Val DSC_LightGray=0.8659, Val DSC_White=0.9132
Epoch 69/100: Train Loss=0.7867, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8565, Val DSC_LightGray=0.8647, Val DSC_White=0.9111
Epoch 70/100: Train Loss=0.7860, Val DSC_BG=0.9968, Val DSC_DeepGray=0.8576, Val DSC_LightGray=0.8719, Val DSC_White=0.9148
Epoch 71/100: Train Loss=0.7853, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8615, Val DSC_LightGray=0.8746, Val DSC_White=0.9180
Epoch 72/100: Train Loss=0.7846, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8665, Val DSC_LightGray=0.8756, Val DSC_White=0.9138
Epoch 73/100: Train Loss=0.7843, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8474, Val DSC_LightGray=0.8695, Val DSC_White=0.9200
